locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
Chhatarpur Extension,New Delhi,1250.0,3,3,2,Unfurnished,22.0,28000.0
New Golden Nest Road,Mumbai,750.0,2,2,0,Unfurnished,32.0,24000.0
Ber Sarai,New Delhi,2000.0,3,2,2,Unfurnished,16.0,32000.0
Powai,Mumbai,250.0,1,1,0,Unfurnished,60.0,15000.0
Kharadi,Pune,950.0,2,2,0,Semi-Furnished,32.0,30000.0
JVPD Scheme,Mumbai,1240.0,3,3,0,Unfurnished,181.0,230000.0
Mahendra Park,New Delhi,200.0,3,2,2,Unfurnished,130.0,26000.0
Sagarpur West,New Delhi,630.0,2,2,0,Semi-Furnished,19.0,12000.0
Block 1st Koramangala,Bangalore,2100.0,4,4,3,Furnished,71.0,150000.0
Baner,Pune,3400.0,4,5,2,Semi-Furnished,81.0,280000.0
Wadgaon Sheri,Pune,1200.0,2,2,2,Unfurnished,32.0,38000.0
Jaitala,Nagpur,750.0,2,1,0,Furnished,23.0,17500.0
Sampigehalli,Bangalore,340.0,2,2,0,Semi-Furnished,94.0,32000.0
Whitefield,Bangalore,1750.0,4,5,3,Unfurnished,57.0,100000.0
Khapri,Nagpur,1230.0,2,2,2,Unfurnished,7.0,8000.0
Chakan,Pune,1288.0,3,3,3,Unfurnished,12.0,15000.0
Vasai East,Mumbai,261.0,1,1,0,Semi-Furnished,38.0,10000.0
Marathahalli,Bangalore,1580.0,3,3,3,Semi-Furnished,38.0,60000.0
Indira nagar Stage 2,Bangalore,1700.0,3,3,3,Furnished,44.0,75000.0
Wakad,Pune,1600.0,3,3,3,Furnished,32.0,52000.0
Sector 9 Dwarka,New Delhi,800.0,2,1,0,Unfurnished,10.0,8000.0
Chembur,Mumbai,300.0,1,0,0,Unfurnished,17.0,5000.0
Vishrantwadi,Pune,650.0,1,1,0,Semi-Furnished,20.0,13000.0
Bhugaon,Pune,1900.0,4,4,3,Unfurnished,21.0,40000.0
Rajouri Garden,New Delhi,600.0,1,1,0,Semi-Furnished,33.0,20000.0
Gottigere,Bangalore,1178.0,2,2,4,Unfurnished,15.0,18000.0
Chatrapati Nagar,Nagpur,700.0,2,1,2,Unfurnished,21.0,15000.0
Dabha,Nagpur,920.0,2,2,2,Unfurnished,10.0,9000.0
Manjri,Pune,800.0,2,2,0,Unfurnished,12.0,10000.0
ITPL,Bangalore,1800.0,3,3,2,Semi-Furnished,40.0,72000.0
Matunga West,Mumbai,950.0,2,2,0,Furnished,132.0,130000.0
Lokhandwala Township Kandivali East,Mumbai,530.0,2,2,0,Semi-Furnished,66.0,35000.0
Sant Nagar East of Kailash,New Delhi,400.0,1,1,0,Semi-Furnished,38.0,15000.0
Ashok Vihar,New Delhi,1530.0,3,3,0,Unfurnished,23.0,35000.0
Grant Road East,Mumbai,675.0,1,1,0,Furnished,102.0,69000.0
Laxman Nagar Baner,Pune,1100.0,3,2,2,Semi-Furnished,30.0,33000.0
Vasant Vihar,New Delhi,2200.0,4,4,2,Semi-Furnished,148.0,330000.0
Suyog Nagar,Nagpur,1250.0,3,2,3,Semi-Furnished,17.0,21000.0
Kharadi,Pune,810.0,2,2,2,Semi-Furnished,40.0,32000.0
Katraj,Pune,600.0,1,1,0,Unfurnished,28.0,17000.0
Yelahanka,Bangalore,1100.0,1,2,0,Unfurnished,11.0,12000.0
Indraprastha,New Delhi,1350.0,3,2,2,Furnished,44.0,60000.0
Lower Parel,Mumbai,1513.0,3,3,3,Unfurnished,152.0,230000.0
Pushpanjali Enclave,New Delhi,1660.0,3,2,2,Semi-Furnished,18.0,30000.0
Katol Road,Nagpur,550.0,1,1,3,Semi-Furnished,18.0,10000.0
Civil Lines,Nagpur,1200.0,2,2,3,Semi-Furnished,19.0,23000.0
Amar Nagar Mulund West,Mumbai,490.0,1,1,0,Furnished,51.0,25000.0
Hennur,Bangalore,800.0,2,2,0,Semi-Furnished,45.0,36000.0
Shastri Nagar,New Delhi,576.0,3,2,0,Semi-Furnished,38.0,22000.0
Wadala East,Mumbai,673.0,2,2,0,Semi-Furnished,116.0,78000.0
Sarjapur Road,Bangalore,1237.0,2,2,0,Semi-Furnished,40.0,50000.0
Undri,Pune,825.0,2,2,0,Unfurnished,40.0,33000.0
Dhanori,Pune,500.0,1,1,0,Semi-Furnished,18.0,9000.0
Domlur,Bangalore,1750.0,3,4,3,Semi-Furnished,57.0,100000.0
Sector 14 Dwarka,New Delhi,800.0,2,1,0,Semi-Furnished,12.0,10000.0
Karve Nagar,Pune,1500.0,3,3,2,Furnished,30.0,45000.0
Ravi Nagar,Nagpur,625.0,2,1,2,Unfurnished,24.0,15000.0
Kundan Nagar,New Delhi,450.0,1,1,0,Semi-Furnished,11.0,5000.0
Sector 23 Dwarka,New Delhi,1800.0,3,3,2,Semi-Furnished,25.0,45000.0
Karol Bagh,New Delhi,800.0,2,2,0,Unfurnished,50.0,40000.0
Bandra West,Mumbai,2000.0,4,5,2,Semi-Furnished,250.0,500000.0
Dhanori,Pune,520.0,1,1,0,Semi-Furnished,19.0,10000.0
Gottigere,Bangalore,700.0,2,1,0,Semi-Furnished,11.0,7500.0
Goregaon West,Mumbai,350.0,2,2,0,Unfurnished,69.0,23999.0
Harlur,Bangalore,845.0,2,2,0,Semi-Furnished,53.0,45000.0
Madhu Vihar,New Delhi,1115.0,3,3,0,Semi-Furnished,27.0,30000.0
MKS Layout,Bangalore,1000.0,2,2,0,Semi-Furnished,25.0,25000.0
BTM Layout Stage 2,Bangalore,600.0,2,2,0,Semi-Furnished,47.0,28000.0
Punvale Bazar,Pune,780.0,2,2,0,Semi-Furnished,29.0,23000.0
Baner,Pune,1350.0,3,3,2,Semi-Furnished,30.0,40000.0
Bhandup,Mumbai,250.0,1,1,0,Furnished,60.0,15000.0
Tumkur Road,Bangalore,1520.0,4,5,2,Semi-Furnished,36.0,55000.0
Nagdevanahalli,Bangalore,1240.0,3,2,2,Semi-Furnished,20.0,25000.0
Wadala East,Mumbai,1040.0,3,3,0,Semi-Furnished,123.0,130000.0
Kiwale,Pune,680.0,2,2,2,Semi-Furnished,26.0,18000.0
BTM Layout,Bangalore,500.0,1,1,0,Semi-Furnished,25.0,12500.0
Malviya Nagar,New Delhi,900.0,2,2,2,Furnished,33.0,30000.0
Horamavu,Bangalore,800.0,1,1,0,Unfurnished,19.0,15000.0
Charholi Budruk,Pune,796.0,2,2,0,Unfurnished,25.0,20000.0
Burari,New Delhi,70.0,2,2,0,Unfurnished,200.0,14000.0
Tumkur Road,Bangalore,1058.0,2,2,0,Semi-Furnished,64.0,68000.0
Kharadi,Pune,600.0,1,1,0,Unfurnished,23.0,14000.0
Wagholi,Pune,1300.0,3,3,3,Semi-Furnished,25.0,33000.0
Hadapsar,Pune,550.0,1,1,0,Semi-Furnished,28.0,15500.0
Hoskote,Bangalore,2650.0,4,4,0,Semi-Furnished,13.0,35000.0
Phase 5 JP Nagar,Bangalore,1200.0,3,2,0,Semi-Furnished,69.0,83334.0
Freedom Fighters Enclave,New Delhi,850.0,2,2,2,Furnished,41.0,35000.0
Mihan,Nagpur,909.0,2,2,0,Furnished,44.0,40000.0
Safdarjung Development Area,New Delhi,1450.0,3,3,2,Semi-Furnished,97.0,140000.0
Andheri East,Mumbai,532.0,1,2,0,Unfurnished,62.0,33000.0
Lower Parel,Mumbai,1200.0,3,3,0,Furnished,138.0,170000.0
Bagalur Main Road,Bangalore,795.0,10,2,0,Semi-Furnished,23.0,18000.0
Phase 8th JP Nagar,Bangalore,600.0,1,1,0,Semi-Furnished,23.0,14000.0
Patel Nagar,New Delhi,1100.0,1,1,0,Semi-Furnished,27.0,30000.0
Hinjewadi,Pune,650.0,1,1,2,Unfurnished,18.0,12000.0
Jogeshwari East,Mumbai,350.0,1,1,0,Unfurnished,34.0,12000.0
Katraj,Pune,900.0,2,2,0,Semi-Furnished,13.0,12000.0
Keshav Nagar,Pune,1195.0,2,2,0,Semi-Furnished,28.0,34000.0
Sector 11 Dwarka,New Delhi,1850.0,4,4,3,Semi-Furnished,22.0,40000.0
Kandivali West,Mumbai,400.0,1,1,0,Unfurnished,80.0,32000.0
Seven Bungalows,Mumbai,750.0,2,2,0,Unfurnished,167.0,130000.0
Thanisandra,Bangalore,2359.0,4,5,0,Furnished,51.0,120000.0
Chhattarpur,New Delhi,900.0,2,2,0,Semi-Furnished,18.0,16500.0
Hulimavu,Bangalore,1175.0,3,2,2,Semi-Furnished,27.0,32000.0
Ashok Nagar,Bangalore,2300.0,3,3,3,Semi-Furnished,87.0,200000.0
Mihan,Nagpur,1100.0,3,3,3,Semi-Furnished,15.0,17000.0
Kandivali East,Mumbai,750.0,2,2,2,Semi-Furnished,71.0,53000.0
Whitefield,Bangalore,1382.0,3,3,2,Semi-Furnished,72.0,100000.0
Santacruz East,Mumbai,300.0,1,1,0,Unfurnished,18.0,5500.0
HSR Layout,Bangalore,550.0,1,1,0,Semi-Furnished,47.0,26000.0
Defence Colony,New Delhi,1900.0,3,3,0,Furnished,84.0,160000.0
Air Force Area,Pune,1358.0,2,2,0,Furnished,24.0,32000.0
Byrathi,Bangalore,700.0,1,1,0,Semi-Furnished,14.0,10000.0
Pitampura,New Delhi,80.0,1,1,0,Furnished,188.0,15000.0
Shalimar bagh,New Delhi,720.0,2,2,0,Semi-Furnished,42.0,30000.0
1A Block Koramangala,Bangalore,2100.0,4,4,3,Semi-Furnished,83.0,180000.0
Moti Nagar,New Delhi,1200.0,3,2,4,Furnished,54.0,65000.0
Samata Nagar Thakur Village,Mumbai,550.0,2,2,0,Furnished,73.0,40000.0
Bommasandra,Bangalore,2200.0,4,4,0,Semi-Furnished,18.0,40000.0
Four Bungalows,Mumbai,800.0,2,2,3,Semi-Furnished,90.0,72000.0
Dindoshi - Malad East,Mumbai,1000.0,3,3,2,Furnished,65.0,65000.0
Lower Parel,Mumbai,2680.0,3,3,3,Unfurnished,112.0,300000.0
Kotewada,Nagpur,1100.0,2,2,0,Unfurnished,8.0,8458.0
Avalahalli,Bangalore,2200.0,3,5,3,Semi-Furnished,37.0,82000.0
Sector 19 Dwarka,New Delhi,750.0,2,2,0,Unfurnished,27.0,20000.0
Chembur,Mumbai,500.0,1,1,0,Furnished,80.0,40000.0
Banaswadi,Bangalore,1600.0,3,3,2,Semi-Furnished,28.0,44000.0
Jalahalli West,Bangalore,800.0,2,2,0,Furnished,30.0,24000.0
Sector 8 Dwarka,New Delhi,650.0,2,2,0,Semi-Furnished,20.0,13000.0
Malad East,Mumbai,1833.0,3,5,4,Semi-Furnished,60.0,110000.0
Uttam Nagar,New Delhi,360.0,1,1,0,Semi-Furnished,24.0,8500.0
Hinjewadi,Pune,1100.0,2,2,0,Furnished,16.0,18000.0
Uttam Nagar,New Delhi,490.0,2,2,0,Unfurnished,15.0,7500.0
Kasavanahalli,Bangalore,1511.0,3,3,0,Semi-Furnished,33.0,50000.0
Sat Bari,New Delhi,4500.0,5,5,5,Furnished,221.0,1000000.0
Connaught Place,New Delhi,1800.0,4,4,3,Furnished,83.0,150000.0
Govind Nagar Bhandup West,Mumbai,800.0,2,2,0,Unfurnished,69.0,55000.0
Wagholi,Pune,1600.0,3,3,3,Furnished,22.0,35000.0
Palanahalli Road,Bangalore,900.0,2,2,2,Furnished,24.0,22000.0
Marunji,Pune,695.0,2,2,0,Unfurnished,42.0,29000.0
Wagholi,Pune,573.0,1,1,0,Unfurnished,38.0,22000.0
New Rajendra Nagar,New Delhi,900.0,3,2,0,Semi-Furnished,44.0,40000.0
Mukherjee Nagar,New Delhi,1200.0,3,3,0,Semi-Furnished,15.0,18000.0
Safdarjung Enclave,New Delhi,2500.0,4,4,3,Semi-Furnished,100.0,250000.0
Indira nagar Stage 2,Bangalore,1800.0,3,3,2,Unfurnished,56.0,100000.0
Vikhroli East,Mumbai,475.0,1,1,0,Semi-Furnished,95.0,45000.0
Doddakannelli,Bangalore,2200.0,4,4,0,Furnished,36.0,80000.0
Kaggadasapura,Bangalore,2400.0,3,3,0,Semi-Furnished,23.0,55000.0
Worli,Mumbai,1400.0,3,4,0,Unfurnished,196.0,280000.0
Virar West,Mumbai,964.0,2,2,3,Unfurnished,12.0,12000.0
Andheri East,Mumbai,444.0,1,2,0,Unfurnished,108.0,48000.0
Kandivali West,Mumbai,608.0,2,2,0,Unfurnished,74.0,45000.0
Kalkaji,New Delhi,1500.0,3,3,2,Semi-Furnished,43.0,65000.0
Bhandup West,Mumbai,200.0,1,1,0,Unfurnished,35.0,7000.0
Gopal Nagar,Nagpur,750.0,2,2,2,Unfurnished,21.0,16000.0
St Nagar Burari,New Delhi,450.0,3,2,0,Furnished,33.0,15000.0
Kharadi,Pune,1000.0,2,2,2,Semi-Furnished,40.0,40000.0
Sector 14 Rohini,New Delhi,200.0,1,1,0,Furnished,40.0,8000.0
Thanisandra,Bangalore,1800.0,3,4,3,Furnished,67.0,120000.0
Neb Sarai,New Delhi,585.0,1,1,0,Furnished,29.0,17000.0
Kaval Byrasandra,Bangalore,800.0,2,2,0,Semi-Furnished,25.0,20000.0
Kammanahalli,Bangalore,300.0,1,1,0,Semi-Furnished,27.0,8000.0
Rahatani Gaon,Pune,1500.0,3,3,3,Furnished,30.0,45000.0
Besa,Nagpur,1200.0,2,2,0,Semi-Furnished,12.0,15000.0
Vinayak Nagar,Bangalore,1220.0,2,2,3,Semi-Furnished,12.0,15000.0
Kirti Nagar,New Delhi,1359.0,3,2,2,Unfurnished,22.0,30400.0
Yerwada Village,Pune,1300.0,3,3,0,Semi-Furnished,15.0,20000.0
Sunkadakatte,Bangalore,600.0,2,1,0,Semi-Furnished,15.0,9000.0
Yelahanka,Bangalore,5900.0,5,7,0,Semi-Furnished,89.0,530000.0
Mahim West,Mumbai,550.0,2,2,0,Semi-Furnished,104.0,57000.0
Magathane,Mumbai,1132.0,3,3,0,Semi-Furnished,110.0,130000.0
Kharadi,Pune,2202.0,4,5,2,Unfurnished,45.0,100000.0
Hingna,Nagpur,500.0,2,1,0,Semi-Furnished,11.0,5500.0
Wagholi,Pune,500.0,1,1,0,Furnished,31.0,15500.0
Old Rajendra Nagar,New Delhi,800.0,3,3,3,Unfurnished,94.0,75000.0
Godhani,Nagpur,730.0,2,1,0,Unfurnished,7.0,5000.0
Kakrola,New Delhi,450.0,1,1,0,Unfurnished,13.0,6000.0
Andheri East,Mumbai,1026.0,2,2,0,Furnished,82.0,84000.0
Wakad,Pune,900.0,2,2,2,Unfurnished,36.0,32000.0
Electronic City Phase 2,Bangalore,400.0,1,1,0,Furnished,54.0,21500.0
Anchepalya,Bangalore,2171.0,5,5,2,Furnished,39.0,85000.0
Byculla,Mumbai,300.0,1,1,0,Unfurnished,83.0,25000.0
Ekta Nagar Kandivali West,Mumbai,475.0,1,2,0,Furnished,79.0,37500.0
Chincholi Phatak,Mumbai,1127.0,3,3,0,Furnished,91.0,100000.0
Vishrantwadi,Pune,600.0,1,1,0,Semi-Furnished,13.0,8000.0
Ayodhya Nagar,Nagpur,650.0,2,1,2,Semi-Furnished,20.0,13000.0
Haji Colony,New Delhi,900.0,2,2,0,Unfurnished,13.0,12000.0
Sarjapur Road,Bangalore,2500.0,3,3,3,Unfurnished,18.0,45199.0
Manewada,Nagpur,1150.0,3,2,3,Semi-Furnished,22.0,25000.0
Pipla,Nagpur,980.0,2,2,2,Unfurnished,12.0,12000.0
Kandivali East,Mumbai,750.0,2,2,0,Unfurnished,91.0,68000.0
Magarpatta City,Pune,1170.0,2,2,2,Furnished,36.0,42000.0
Chinchwad,Pune,600.0,1,1,0,Furnished,26.0,15500.0
Choodasandra,Bangalore,400.0,1,1,0,Unfurnished,25.0,10000.0
Prithvi layout,Bangalore,850.0,2,2,0,Unfurnished,34.0,29000.0
Chandivali,Mumbai,1150.0,3,3,0,Furnished,87.0,100000.0
Wadala East,Mumbai,511.0,1,1,2,Furnished,157.0,80000.0
Aali Village,New Delhi,570.0,2,1,0,Unfurnished,14.0,7800.0
Bannerghatta Road,Bangalore,2072.0,3,4,0,Furnished,39.0,80000.0
Bhugaon,Pune,780.0,3,2,0,Semi-Furnished,17.0,13000.0
KR Puram,Bangalore,30.0,2,2,0,Semi-Furnished,467.0,14000.0
Undri,Pune,850.0,2,2,2,Unfurnished,19.0,16000.0
Sagarpur West,New Delhi,590.0,2,2,0,Unfurnished,14.0,8000.0
Naigaon East,Mumbai,600.0,2,2,3,Unfurnished,25.0,15000.0
Hadapsar,Pune,528.0,1,1,0,Semi-Furnished,19.0,10000.0
Borivali East,Mumbai,1073.0,3,3,0,Semi-Furnished,121.0,130000.0
Dabri,New Delhi,900.0,2,2,0,Semi-Furnished,11.0,10000.0
Bhandup West,Mumbai,950.0,2,2,0,Semi-Furnished,42.0,40000.0
Jeevan Niketan,New Delhi,1800.0,4,3,0,Unfurnished,25.0,45000.0
Balewadi,Pune,800.0,2,2,2,Unfurnished,31.0,25000.0
Malad West,Mumbai,400.0,1,2,0,Unfurnished,58.0,23000.0
Seegehalli,Bangalore,2900.0,4,4,2,Semi-Furnished,34.0,100000.0
Mira Road,Mumbai,1080.0,2,2,0,Semi-Furnished,19.0,20000.0
Undri,Pune,2025.0,3,3,2,Semi-Furnished,24.0,48000.0
Suyognagar,Nagpur,450.0,2,2,0,Semi-Furnished,44.0,20000.0
Borivali West,Mumbai,445.0,1,1,0,Unfurnished,85.0,38000.0
Thakur Village,Mumbai,535.0,1,1,0,Semi-Furnished,67.0,36000.0
Devanahalli,Bangalore,3100.0,4,6,4,Furnished,29.0,90000.0
Laxmi Nagar,New Delhi,297.0,1,1,0,Semi-Furnished,33.666666666666664,10000.0
Laxmi Vihar Nawada,New Delhi,405.0,1,1,0,Semi-Furnished,30.0,12000.0
Rahatni,Pune,960.0,2,2,0,Furnished,29.0,28000.0
Kammanahalli,Bangalore,1200.0,2,1,0,Semi-Furnished,17.0,20000.0
Abul Fazal Enclave Part 1,New Delhi,540.0,2,1,0,Unfurnished,28.0,15000.0
Keshav Nagar,Pune,783.0,2,2,2,Semi-Furnished,36.0,28000.0
Spice Garden Layout,Bangalore,800.0,1,2,0,Semi-Furnished,21.0,16500.0
Dakshini Pitampura,New Delhi,900.0,2,2,2,Semi-Furnished,32.0,28500.0
Worli,Mumbai,609.0,2,2,0,Semi-Furnished,148.0,90000.0
Block 6th Koramangala,Bangalore,1000.0,2,2,0,Semi-Furnished,32.0,32000.0
Ex Service Men Colony,Bangalore,3700.0,4,4,4,Unfurnished,11.0,39000.0
